Дата;Эксперт;ID компании;Компания;ID площадки;Площадка;Чек-лист;Блок;№;Метрика;Описание;Выбранный вариант;Балл;Макс. балл
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.8;Анализ результатов лазерного сканирования;Наложение ЦИМ и облака точек, анализ отклонений;2 — выполнен анализ отклонений;2;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.9;Организация Фото360;Организация и помощь участникам в проведении фотосъемки;1 — фотосъемка проведена частично;1;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.1;Камеральная обработка результатов;В модели сформированы точки обзора в соответствии с ходом фотосъемки, произведена интеграция планов, фото и модели в SYGNAL;2 — снимок состояния сформирован в SYGNAL в рамках всего объекта, налажен регулярный процесс, данные актуальны;2;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.1;Понимание ТИМ;Знания о преимуществах ТИМ перед классическим проектированием;2 — понимает суть ТИМ, преимущества и выгоды от использования;2;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.2;Этапы формирования ЦИМ;Знание этапов формирования ЦИМ;2 — понимает процесс формирования ЦИМ;2;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.3;Статусные модели ПИР, СМР;Знание о том, что из себя представляют статусные модели;1 — понимает, но не использует;1;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.4;4D модель;Знание, что из себя представляет 4D модель;2 — использует при принятии решений;2;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.5;Лазерное сканирование;Базовые знания о технологии лазерного сканирования и результатах;1 — понимает, но не использует;1;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.6;Фотомониторинг SYGNAL;Базовые знания о технологии фотомониторинга и результатах;1 — понимает, но не использует;1;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Использование ЦИМ в управлении проектом;2.1;Просмотр модели и использование базовых инструментов оценки;Умеет открывать и просматривать модель, осуществлять навигацию;2 — использует при принятии решений;2;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Использование ЦИМ в управлении проектом;2.2;Корректировка графиков проекта;Оценка реализуемости графиков и корректировка на основе данных ЦИМ;1 — просматривает, но не использует;1;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Использование ЦИМ в управлении проектом;2.3;Анализ проектных решений;Умеет просматривать модель, осуществлять сверку с РД и фактом СМР;2 — использует для принятия решений;2;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Использование ЦИМ в управлении проектом;2.4;Анализ статусных моделей ПИР, СМР;Просмотр и анализ статусных моделей, разработка корректирующих мероприятий;1 — просматривает, но не использует;1;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Использование ЦИМ в управлении проектом;2.5;Анализ 4D;Просмотр и анализ отклонений;2 — использует для принятия решений;2;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Поддержка и масштабирование ЦИМ;3.1;Инициация обучения персонала;Выявление потребности и организация обучения;1 — разовое обучение;1;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Поддержка и масштабирование ЦИМ;3.2;Применение ЦИМ на совещаниях;Демонстрация результатов работы с ЦИМ;2 — применяет ЦИМ 4D для принятия решений;2;2
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;Руководитель строительства;Поддержка и масштабирование ЦИМ;3.3;Внесение требований к ЦИМ в подконтрольные договоры подряда;Инициация и внесение требований в договоры;1 — инициирует, но без результата;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.1;Наличие рабочей группы;На ОКС присутствует специалист по ТИМ;0 — специалисты отсутствуют;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.2;Обеспеченность рабочих мест;Установлено необходимое ПО;0 — не установлено;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.3;Наличие и доступность ЦИМ;ЦИМ получена и доступна для работы;1 — модель передается по запросу;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.4;Актуальность ЦИМ;Дата последнего обновления ЦИМ;0 — дата выпуска документации опережает модель более чем на 14 дней;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.5;Форматы ЦИМ;Передана в проприетарных форматах (RVT, NWC, NWD), открытом формате IFC;1 — форматы переданы не в полном объеме;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Качество ТИМ;2.1;Моделирование разделов ЦИМ;В наличии ЦИМ по всем требуемым разделам в рамках проекта;0 — ЦИМ включает АР, КР;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Качество ТИМ;2.2;Сводная ЦИМ;Сводная ЦИМ очищена от элементов, не отражающих проектные решения;0 — подложки, прочие вспомогательные элементы;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Качество ТИМ;2.3;Координаты;Модели всех разделов скоординированы и имеют общую систему координат;1 — скоординированы, но требуют ручной доработки для сборки сводной модели;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Качество ТИМ;2.4;Наличие ПИМ;ПИМ актуален и доступен участникам;0 — ПИМ отсутствует;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Качество ТИМ;2.5;Подход к формированию ЦИМ Прямой / Обратный;Документация сформирована в модели и выпускается по мере развития модели / модель сформирована на базе выпущенной документации;1 — Обратный;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Качество ЦИМ;3.1;Параметризация ЦИМ;"Имена параметров соответствуют ПИМ, параметры заполнены в рамках текущего этапа проекта. Контролируемые параметры: шифр П; шифр Р; номер помещения; наименование (соответствует спецификации); уровень; имя системы; тип системы; количественная характеристика (объем/площадь/длина)";1 — соответствуют частично;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Качество ЦИМ;3.2;Дублирование элементов сводной ЦИМ;В сводной ЦИМ отсутствуют дубликаты элементов;2 — дубликатов нет;2;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Качество ЦИМ;3.3;Пересечение элементов;В сводной ЦИМ отсутствуют пересечения элементов, исключения отражены в ПИМ;0 — коллизии есть (за исключением оговоренных);0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Качество ЦИМ;3.4;Настройки сводной ЦИМ;В модели настроены проверки в соответствии с требованиями и оговоренными исключениями;1 — проверки есть, но не настроены исключения;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ЦИМ;Качество ЦИМ;3.5;Настройка видов для экспорта в исходном формате;В модели настроен вид для экспорта, содержащий элементы в рамках раздела;1 — настроен с замечаниями;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Опыт и знания;1.1;Владение ПО;Умение работы в ПО в рамках технологического стека проекта;1 — ПО для просмотра;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Опыт и знания;1.2;Знание процессов и технологии строительства;Понимание этапов проекта, технологии производства работ;0 — не понимает;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Сопровождение СМР, ПИР;2.1;Доступ к ЦИМ;Организован доступ к ЦИМ для участников;0 — не организован;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Сопровождение СМР, ПИР;2.2;Рабочие группы;Сформированы рабочие группы СМР, ПИР;0 — не сформированы;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Сопровождение СМР, ПИР;2.3;Взаимодействия;Сформированы рабочие чаты СМР, ПИР;1 — созданы по одному из направлений;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.1;Входной контроль ЦИМ;Проверка состава переданных ЦИМ, обеспечение доступа команде проекта;0 — модель не актуальна;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.2;Отработка запросов и консультации участников;Сопровождение команды проекта;1 — ведется частично;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.3;Формирование паспортов помещений;Подготовка паспортов в требуемом количестве;0 — работа не ведется;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.4;Статусная модель ПИР;Ведется статусная модель выпуска РД;1 — модель не актуальна;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.5;Статусная модель СМР;Ведется статусная модель выполненных СМР;0 — работа не ведется;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.6;План-фактная модель СМР;Ведется план-фактная модель СМР, отражающая отставания, опережения или соответствие графику СМР;1 — модель не актуальна;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.7;Организация лазерного сканирования;Организация и помощь участникам в проведении сканирования;0 — работа не ведется;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.8;Анализ результатов лазерного сканирования;Наложение ЦИМ и облака точек, анализ отклонений;1 — наложение выполнено, но не проанализировано;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.9;Организация Фото360;Организация и помощь участникам в проведении фотосъемки;1 — фотосъемка проведена частично;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;ТИМ-специалист;Операционная деятельность;3.1;Камеральная обработка результатов;В модели сформированы точки обзора в соответствии с ходом фотосъемки, произведена интеграция планов, фото и модели в SYGNAL;0 — работа не ведется;0;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.1;Понимание ТИМ;Знания о преимуществах ТИМ перед классическим проектированием;1 — понимание преимуществ не сформировано;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.2;Этапы формирования ЦИМ;Знание этапов формирования ЦИМ;1 — понимание этапов не сформировано;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.3;Статусные модели ПИР, СМР;Знание о том, что из себя представляют статусные модели;1 — понимает, но не использует;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.4;4D модель;Знание, что из себя представляет 4D модель;1 — понимает, но не использует;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.5;Лазерное сканирование;Базовые знания о технологии лазерного сканирования и результатах;1 — понимает, но не использует;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Опыт и знания;1.6;Фотомониторинг SYGNAL;Базовые знания о технологии фотомониторинга и результатах;1 — понимает, но не использует;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Использование ЦИМ в управлении проектом;2.1;Просмотр модели и использование базовых инструментов оценки;Умеет открывать и просматривать модель, осуществлять навигацию;1 — просматривает, но не использует;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Использование ЦИМ в управлении проектом;2.2;Корректировка графиков проекта;Оценка реализуемости графиков и корректировка на основе данных ЦИМ;1 — просматривает, но не использует;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Использование ЦИМ в управлении проектом;2.3;Анализ проектных решений;Умеет просматривать модель, осуществлять сверку с РД и фактом СМР;1 — просматривает, но не использует;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Использование ЦИМ в управлении проектом;2.4;Анализ статусных моделей ПИР, СМР;Просмотр и анализ статусных моделей, разработка корректирующих мероприятий;1 — просматривает, но не использует;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Использование ЦИМ в управлении проектом;2.5;Анализ 4D;Просмотр и анализ отклонений;1 — просматривает, но не использует;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Поддержка и масштабирование ЦИМ;3.1;Инициация обучения персонала;Выявление потребности и организация обучения;1 — разовое обучение;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Поддержка и масштабирование ЦИМ;3.2;Применение ЦИМ на совещаниях;Демонстрация результатов работы с ЦИМ;1 — только статусные модели;1;2
06.08.2026 13:42;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 1;Станция 1;Руководитель строительства;Поддержка и масштабирование ЦИМ;3.3;Внесение требований к ЦИМ в подконтрольные договоры подряда;Инициация и внесение требований в договоры;1 — инициирует, но без результата;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.1;Наличие рабочей группы;На ОКС присутствует специалист по ТИМ;0 — специалисты отсутствуют;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.2;Обеспеченность рабочих мест;Установлено необходимое ПО;0 — не установлено;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.3;Наличие и доступность ЦИМ;ЦИМ получена и доступна для работы;0 — модель отсутствует;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.4;Актуальность ЦИМ;Дата последнего обновления ЦИМ;0 — дата выпуска документации опережает модель более чем на 14 дней;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.5;Форматы ЦИМ;Передана в проприетарных форматах (RVT, NWC, NWD), открытом формате IFC;0 — передан исходный формат;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Качество ТИМ;2.1;Моделирование разделов ЦИМ;В наличии ЦИМ по всем требуемым разделам в рамках проекта;0 — ЦИМ включает АР, КР;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Качество ТИМ;2.2;Сводная ЦИМ;Сводная ЦИМ очищена от элементов, не отражающих проектные решения;0 — подложки, прочие вспомогательные элементы;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Качество ТИМ;2.3;Координаты;Модели всех разделов скоординированы и имеют общую систему координат;0 — модели не скоординированы;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Качество ТИМ;2.4;Наличие ПИМ;ПИМ актуален и доступен участникам;0 — ПИМ отсутствует;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Качество ТИМ;2.5;Подход к формированию ЦИМ Прямой / Обратный;Документация сформирована в модели и выпускается по мере развития модели / модель сформирована на базе выпущенной документации;1 — Обратный;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Качество ЦИМ;3.1;Параметризация ЦИМ;"Имена параметров соответствуют ПИМ, параметры заполнены в рамках текущего этапа проекта. Контролируемые параметры: шифр П; шифр Р; номер помещения; наименование (соответствует спецификации); уровень; имя системы; тип системы; количественная характеристика (объем/площадь/длина)";0 — не соответствуют;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Качество ЦИМ;3.2;Дублирование элементов сводной ЦИМ;В сводной ЦИМ отсутствуют дубликаты элементов;0 — дубликаты есть;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Качество ЦИМ;3.3;Пересечение элементов;В сводной ЦИМ отсутствуют пересечения элементов, исключения отражены в ПИМ;0 — коллизии есть (за исключением оговоренных);0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Качество ЦИМ;3.4;Настройки сводной ЦИМ;В модели настроены проверки в соответствии с требованиями и оговоренными исключениями;0 — отсутствуют проверки;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ЦИМ;Качество ЦИМ;3.5;Настройка видов для экспорта в исходном формате;В модели настроен вид для экспорта, содержащий элементы в рамках раздела;0 — вид не настроен;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Опыт и знания;1.1;Владение ПО;Умение работы в ПО в рамках технологического стека проекта;1 — ПО для просмотра;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Опыт и знания;1.2;Знание процессов и технологии строительства;Понимание этапов проекта, технологии производства работ;1 — понимает частично;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Сопровождение СМР, ПИР;2.1;Доступ к ЦИМ;Организован доступ к ЦИМ для участников;1 — организован по запросу;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Сопровождение СМР, ПИР;2.2;Рабочие группы;Сформированы рабочие группы СМР, ПИР;1 — группы созданы частично;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Сопровождение СМР, ПИР;2.3;Взаимодействия;Сформированы рабочие чаты СМР, ПИР;1 — созданы по одному из направлений;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Операционная деятельность;3.1;Входной контроль ЦИМ;Проверка состава переданных ЦИМ, обеспечение доступа команде проекта;1 — модель актуальна, но доступ участникам не обеспечен;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Операционная деятельность;3.2;Отработка запросов и консультации участников;Сопровождение команды проекта;1 — ведется частично;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Операционная деятельность;3.3;Формирование паспортов помещений;Подготовка паспортов в требуемом количестве;1 — ведется частично;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Операционная деятельность;3.4;Статусная модель ПИР;Ведется статусная модель выпуска РД;1 — модель не актуальна;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Операционная деятельность;3.5;Статусная модель СМР;Ведется статусная модель выполненных СМР;1 — модель не актуальна;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Операционная деятельность;3.6;План-фактная модель СМР;Ведется план-фактная модель СМР, отражающая отставания, опережения или соответствие графику СМР;1 — модель не актуальна;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Операционная деятельность;3.7;Организация лазерного сканирования;Организация и помощь участникам в проведении сканирования;1 — сканирование проведено, результаты не обработаны;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Операционная деятельность;3.8;Анализ результатов лазерного сканирования;Наложение ЦИМ и облака точек, анализ отклонений;1 — наложение выполнено, но не проанализировано;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Операционная деятельность;3.9;Организация Фото360;Организация и помощь участникам в проведении фотосъемки;1 — фотосъемка проведена частично;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;ТИМ-специалист;Операционная деятельность;3.1;Камеральная обработка результатов;В модели сформированы точки обзора в соответствии с ходом фотосъемки, произведена интеграция планов, фото и модели в SYGNAL;1 — выполнено частично;1;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Опыт и знания;1.1;Понимание ТИМ;Знания о преимуществах ТИМ перед классическим проектированием;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Опыт и знания;1.2;Этапы формирования ЦИМ;Знание этапов формирования ЦИМ;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Опыт и знания;1.3;Статусные модели ПИР, СМР;Знание о том, что из себя представляют статусные модели;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Опыт и знания;1.4;4D модель;Знание, что из себя представляет 4D модель;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Опыт и знания;1.5;Лазерное сканирование;Базовые знания о технологии лазерного сканирования и результатах;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Опыт и знания;1.6;Фотомониторинг SYGNAL;Базовые знания о технологии фотомониторинга и результатах;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Использование ЦИМ в управлении проектом;2.1;Просмотр модели и использование базовых инструментов оценки;Умеет открывать и просматривать модель, осуществлять навигацию;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Использование ЦИМ в управлении проектом;2.2;Корректировка графиков проекта;Оценка реализуемости графиков и корректировка на основе данных ЦИМ;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Использование ЦИМ в управлении проектом;2.3;Анализ проектных решений;Умеет просматривать модель, осуществлять сверку с РД и фактом СМР;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Использование ЦИМ в управлении проектом;2.4;Анализ статусных моделей ПИР, СМР;Просмотр и анализ статусных моделей, разработка корректирующих мероприятий;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Использование ЦИМ в управлении проектом;2.5;Анализ 4D;Просмотр и анализ отклонений;0 — не сталкивался ранее;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Поддержка и масштабирование ЦИМ;3.1;Инициация обучения персонала;Выявление потребности и организация обучения;0 — работа не ведется;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Поддержка и масштабирование ЦИМ;3.2;Применение ЦИМ на совещаниях;Демонстрация результатов работы с ЦИМ;0 — работа не ведется;0;2
06.08.2026 13:50;Хворенков П.Ю.;c3;АО «Мосметрострой»;Станция 2;Станция 2;Руководитель строительства;Поддержка и масштабирование ЦИМ;3.3;Внесение требований к ЦИМ в подконтрольные договоры подряда;Инициация и внесение требований в договоры;0 — работа не ведется;0;2
06.08.2026 13:52;Хворенков П.Ю.;c4;УРСТ;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.1;Наличие рабочей группы;На ОКС присутствует специалист по ТИМ;1 — один специалист;1;2
